month,category,revenue
2017-02,dvds_blu_ray,14.9
2017-02,electronics,1218.85
2017-02,fashio_female_clothing,457.8
2017-02,fashion_bags_accessories,2374.11
2017-02,fashion_childrens_clothes,
2017-02,fashion_male_clothing,642.85
2017-02,fashion_shoes,107.05
2017-02,fashion_sport,
2017-02,fashion_underwear_beach,396.97
2017-02,fixed_telephony,759.23
2017-02,flowers,
2017-02,food,715.63
2017-02,food_drink,
2017-02,furniture_bedroom,450.0
2017-02,furniture_decor,20986.1
2017-02,furniture_living_room,3791.63
2017-02,furniture_mattress_and_upholstery,
2017-02,garden_tools,13144.61
2017-02,health_beauty,22838.79
2017-02,home_appliances,740.9
2017-02,home_appliances_2,15.99
2017-02,home_comfort_2,
2017-02,home_confort,414.66
2017-02,home_construction,695.6
2017-02,housewares,12659.67
2017-02,industry_commerce_and_business,119.0
2017-02,kitchen_dining_laundry_garden_furniture,139.9
2017-02,la_cuisine,
2017-02,luggage_accessories,1694.18
2017-02,market_place,1688.22
2017-02,music,
2017-02,musical_instruments,2221.28
2017-02,office_furniture,11805.98
2017-02,party_supplies,
2017-02,pc_gamer,
2017-02,perfumery,8127.18
2017-02,pet_shop,3729.07
2017-02,portateis_cozinha_e_preparadores_de_alimentos,
2017-02,security_and_services,
2017-02,signaling_and_security,
2017-02,small_appliances,7251.58
2017-02,small_appliances_home_oven_and_coffee,
2017-02,sports_leisure,16372.16
2017-02,stationery,2341.4
2017-02,tablets_printing_image,792.0
2017-02,telephony,6899.09
2017-02,toys,9403.34
2017-02,watches_gifts,11756.21
2017-03,Unknown,6714.17
2017-03,agro_industry_and_commerce,81.99
2017-03,air_conditioning,4103.81
2017-03,art,223.25
2017-03,arts_and_craftmanship,
2017-03,audio,1134.77
2017-03,auto,14482.07
2017-03,baby,3724.08
2017-03,bed_bath_table,25773.02
2017-03,books_general_interest,2648.96
2017-03,books_imported,
2017-03,books_technical,75.0
2017-03,cds_dvds_musicals,
2017-03,christmas_supplies,
2017-03,cine_photo,
2017-03,computers,
2017-03,computers_accessories,28624.6
2017-03,consoles_games,10768.84
2017-03,construction_tools_construction,773.4
2017-03,construction_tools_lights,
2017-03,construction_tools_safety,380.0
2017-03,cool_stuff,21095.21
2017-03,costruction_tools_garden,
2017-03,costruction_tools_tools,
2017-03,diapers_and_hygiene,
2017-03,drinks,463.87
2017-03,dvds_blu_ray,1873.7
2017-03,electronics,3986.0
2017-03,fashio_female_clothing,19.9
2017-03,fashion_bags_accessories,4861.16
2017-03,fashion_childrens_clothes,
2017-03,fashion_male_clothing,580.8
2017-03,fashion_shoes,1515.0
2017-03,fashion_sport,39.9
2017-03,fashion_underwear_beach,394.14
2017-03,fixed_telephony,1592.35
2017-03,flowers,
2017-03,food,2667.56
2017-03,food_drink,110.8
2017-03,furniture_bedroom,
2017-03,furniture_decor,23477.63
2017-03,furniture_living_room,3324.0
2017-03,furniture_mattress_and_upholstery,
2017-03,garden_tools,23747.15
2017-03,health_beauty,25995.25
2017-03,home_appliances,313.3
2017-03,home_appliances_2,500.9
2017-03,home_comfort_2,342.88
2017-03,home_confort,2123.4
2017-03,home_construction,591.96
2017-03,housewares,13511.81
2017-03,industry_commerce_and_business,238.0
2017-03,kitchen_dining_laundry_garden_furniture,113.98
2017-03,la_cuisine,
2017-03,luggage_accessories,5924.01
2017-03,market_place,1808.59
2017-03,music,27.99
2017-03,musical_instruments,1667.33
2017-03,office_furniture,11783.51
2017-03,party_supplies,
2017-03,pc_gamer,
2017-03,perfumery,19808.13
2017-03,pet_shop,8369.96
2017-03,portateis_cozinha_e_preparadores_de_alimentos,
2017-03,security_and_services,
2017-03,signaling_and_security,75.0
2017-03,small_appliances,11171.06
2017-03,small_appliances_home_oven_and_coffee,
2017-03,sports_leisure,27001.59
2017-03,stationery,5902.62
2017-03,tablets_printing_image,495.0
2017-03,telephony,8121.05
2017-03,toys,12429.47
2017-03,watches_gifts,26770.38
2017-04,Unknown,8693.09
2017-04,agro_industry_and_commerce,
2017-04,air_conditioning,2582.23
2017-04,art,119.9
2017-04,arts_and_craftmanship,
2017-04,audio,942.2
2017-04,auto,15548.17
2017-04,baby,3980.45
2017-04,bed_bath_table,24347.69
2017-04,books_general_interest,923.38
2017-04,books_imported,19.99
2017-04,books_technical,75.0
2017-04,cds_dvds_musicals,
2017-04,christmas_supplies,69.0
2017-04,cine_photo,118.0
2017-04,computers,
2017-04,computers_accessories,20691.06
2017-04,consoles_games,3772.88
2017-04,construction_tools_construction,
2017-04,construction_tools_lights,
2017-04,construction_tools_safety,
2017-04,cool_stuff,21822.08
2017-04,costruction_tools_garden,1490.21
2017-04,costruction_tools_tools,729.0
2017-04,diapers_and_hygiene,
2017-04,drinks,199.93
2017-04,dvds_blu_ray,1434.9
2017-04,electronics,4822.24
2017-04,fashio_female_clothing,64.9
2017-04,fashion_bags_accessories,3219.8
2017-04,fashion_childrens_clothes,
2017-04,fashion_male_clothing,416.69
2017-04,fashion_shoes,1526.5
2017-04,fashion_sport,189.78
2017-04,fashion_underwear_beach,98.79
2017-04,fixed_telephony,2998.33
2017-04,flowers,
2017-04,food,491.3
2017-04,food_drink,47.9
2017-04,furniture_bedroom,858.96
2017-04,furniture_decor,21690.42
2017-04,furniture_living_room,2073.34
2017-04,furniture_mattress_and_upholstery,109.4
2017-04,garden_tools,20809.28
2017-04,health_beauty,22935.75
2017-04,home_appliances,499.4
2017-04,home_appliances_2,799.8
2017-04,home_comfort_2,12.9
2017-04,home_confort,2411.1
2017-04,home_construction,1602.69
2017-04,housewares,15028.84
2017-04,industry_commerce_and_business,
2017-04,kitchen_dining_laundry_garden_furniture,1033.4
2017-04,la_cuisine,24.0
2017-04,luggage_accessories,7150.2
2017-04,market_place,4090.18
2017-04,music,59.8
2017-04,musical_instruments,3818.43
2017-04,office_furniture,9411.3
2017-04,party_supplies,
2017-04,pc_gamer,259.98
2017-04,perfumery,19891.11
2017-04,pet_shop,6182.89
2017-04,portateis_cozinha_e_preparadores_de_alimentos,
2017-04,security_and_services,
2017-04,signaling_and_security,128.06
2017-04,small_appliances,23253.98
2017-04,small_appliances_home_oven_and_coffee,
2017-04,sports_leisure,24864.33
2017-04,stationery,4606.34
2017-04,tablets_printing_image,1112.88
2017-04,telephony,7245.87
2017-04,toys,13039.43
2017-04,watches_gifts,23487.78
2017-05,Unknown,10961.94
2017-05,agro_industry_and_commerce,1579.94
2017-05,air_conditioning,1016.77
2017-05,art,6967.65
2017-05,arts_and_craftmanship,21.99
2017-05,audio,2081.18
2017-05,auto,18640.03
2017-05,baby,9849.51
2017-05,bed_bath_table,33346.45
2017-05,books_general_interest,1841.57
2017-05,books_imported,
2017-05,books_technical,262.0
2017-05,cds_dvds_musicals,
2017-05,christmas_supplies,
2017-05,cine_photo,59.0
2017-05,computers,
2017-05,computers_accessories,45634.78
2017-05,consoles_games,2507.2
2017-05,construction_tools_construction,99.99
2017-05,construction_tools_lights,
2017-05,construction_tools_safety,
2017-05,cool_stuff,33696.47
2017-05,costruction_tools_garden,1577.24
2017-05,costruction_tools_tools,803.9
2017-05,diapers_and_hygiene,
2017-05,drinks,90.0
2017-05,dvds_blu_ray,89.6
2017-05,electronics,6709.11
2017-05,fashio_female_clothing,422.4
2017-05,fashion_bags_accessories,7498.67
2017-05,fashion_childrens_clothes,110.0
2017-05,fashion_male_clothing,608.9
2017-05,fashion_shoes,1669.54
2017-05,fashion_sport,124.84
2017-05,fashion_underwear_beach,283.5
2017-05,fixed_telephony,462.33
2017-05,flowers,
2017-05,food,387.9
2017-05,food_drink,416.29
2017-05,furniture_bedroom,2369.97
2017-05,furniture_decor,24028.51
2017-05,furniture_living_room,4929.43
2017-05,furniture_mattress_and_upholstery,595.89
2017-05,garden_tools,20693.46
2017-05,health_beauty,46786.02
2017-05,home_appliances,1912.79
2017-05,home_appliances_2,3093.04
2017-05,home_comfort_2,
2017-05,home_confort,5293.87
2017-05,home_construction,1620.5
2017-05,housewares,21726.48
2017-05,industry_commerce_and_business,519.8
2017-05,kitchen_dining_laundry_garden_furniture,1304.48
2017-05,la_cuisine,193.0
2017-05,luggage_accessories,12539.62
2017-05,market_place,2476.98
2017-05,music,
2017-05,musical_instruments,10019.43
2017-05,office_furniture,8403.43
2017-05,party_supplies,
2017-05,pc_gamer,129.99
2017-05,perfumery,20119.04
2017-05,pet_shop,8151.02
2017-05,portateis_cozinha_e_preparadores_de_alimentos,
2017-05,security_and_services,
2017-05,signaling_and_security,508.85
2017-05,small_appliances,5241.44
2017-05,small_appliances_home_oven_and_coffee,
2017-05,sports_leisure,36163.5
2017-05,stationery,6049.98
2017-05,tablets_printing_image,1514.98
2017-05,telephony,9264.1
2017-05,toys,22626.95
2017-05,watches_gifts,37973.9
2017-06,Unknown,5527.79
2017-06,agro_industry_and_commerce,1390.0
2017-06,air_conditioning,2084.48
2017-06,art,421.7
2017-06,arts_and_craftmanship,
2017-06,audio,1671.0
2017-06,auto,31370.69
2017-06,baby,7864.74
2017-06,bed_bath_table,35114.81
2017-06,books_general_interest,1940.08
2017-06,books_imported,99.0
2017-06,books_technical,145.9
2017-06,cds_dvds_musicals,
2017-06,christmas_supplies,184.7
2017-06,cine_photo,79.0
2017-06,computers,
2017-06,computers_accessories,37007.08
2017-06,consoles_games,5389.02
2017-06,construction_tools_construction,376.37
2017-06,construction_tools_lights,
2017-06,construction_tools_safety,
2017-06,cool_stuff,38244.5
2017-06,costruction_tools_garden,434.69
2017-06,costruction_tools_tools,
2017-06,diapers_and_hygiene,
2017-06,drinks,49.99
2017-06,dvds_blu_ray,126.69
2017-06,electronics,2100.04
2017-06,fashio_female_clothing,154.8
2017-06,fashion_bags_accessories,6831.03
2017-06,fashion_childrens_clothes,110.0
2017-06,fashion_male_clothing,569.69
2017-06,fashion_shoes,1351.2
2017-06,fashion_sport,495.49
2017-06,fashion_underwear_beach,3.9
2017-06,fixed_telephony,933.67
2017-06,flowers,
2017-06,food,149.9
2017-06,food_drink,57.4
2017-06,furniture_bedroom,308.99
2017-06,furniture_decor,16943.58
2017-06,furniture_living_room,1713.3
2017-06,furniture_mattress_and_upholstery,
2017-06,garden_tools,15851.17
2017-06,health_beauty,32029.39
2017-06,home_appliances,2507.19
2017-06,home_appliances_2,1213.87
2017-06,home_comfort_2,12.9
2017-06,home_confort,3056.19
2017-06,home_construction,1992.3
2017-06,housewares,23623.71
2017-06,industry_commerce_and_business,276.97
2017-06,kitchen_dining_laundry_garden_furniture,374.8
2017-06,la_cuisine,
2017-06,luggage_accessories,8232.09
